Date	From_Province	From_City	Index
20190112	Hubei	Wuhan	5.0520672
20190113	Hubei	Wuhan	4.0588128
20190114	Hubei	Wuhan	4.0048344
20190115	Hubei	Wuhan	3.7246716
20190116	Hubei	Wuhan	3.990384
20190117	Hubei	Wuhan	4.2154992
20190118	Hubei	Wuhan	4.4281404
20190119	Hubei	Wuhan	5.2943544
20190120	Hubei	Wuhan	4.5848268
20190121	Hubei	Wuhan	4.5717696
20190122	Hubei	Wuhan	4.6891548
20190123	Hubei	Wuhan	4.8062484
20190124	Hubei	Wuhan	4.8605184
20190125	Hubei	Wuhan	5.6628396
20190126	Hubei	Wuhan	7.043598
20190127	Hubei	Wuhan	6.4897524
20190128	Hubei	Wuhan	6.770628
20190129	Hubei	Wuhan	7.0281756
20190130	Hubei	Wuhan	7.1071668
20190131	Hubei	Wuhan	7.4799612
20190201	Hubei	Wuhan	8.7140124
20190202	Hubei	Wuhan	9.604332
20190203	Hubei	Wuhan	9.2246688
20190204	Hubei	Wuhan	7.3813356
20190205	Hubei	Wuhan	5.5432188
20190206	Hubei	Wuhan	6.5359224
20190207	Hubei	Wuhan	5.6417148
20190208	Hubei	Wuhan	4.7044152
20190209	Hubei	Wuhan	4.2702228
20190210	Hubei	Wuhan	3.7155024
20190211	Hubei	Wuhan	3.5002044
20190212	Hubei	Wuhan	3.2788152
20190213	Hubei	Wuhan	3.4030692
20190214	Hubei	Wuhan	3.368466
20190215	Hubei	Wuhan	3.4485264
20190216	Hubei	Wuhan	3.9908376
20190217	Hubei	Wuhan	3.5591724
20190218	Hubei	Wuhan	4.090176
20190219	Hubei	Wuhan	3.7104804
20190220	Hubei	Wuhan	2.97918
20190221	Hubei	Wuhan	2.9042712
20190222	Hubei	Wuhan	3.0486132
20190223	Hubei	Wuhan	3.8984328
20190224	Hubei	Wuhan	3.7769652
20190225	Hubei	Wuhan	3.3372324
20190226	Hubei	Wuhan	3.0736908
20190227	Hubei	Wuhan	3.2840964
20190228	Hubei	Wuhan	4.323618
20190301	Hubei	Wuhan	3.6168768
20190302	Hubei	Wuhan	4.2287832
20190303	Hubei	Wuhan	3.4576956
20190304	Hubei	Wuhan	3.8100456
20190305	Hubei	Wuhan	3.3020136
20190306	Hubei	Wuhan	3.2068224
20190307	Hubei	Wuhan	3.3307848
20190308	Hubei	Wuhan	3.8843064
20190309	Hubei	Wuhan	4.7331216
20190310	Hubei	Wuhan	3.8916612
20190311	Hubei	Wuhan	4.0662
20190312	Hubei	Wuhan	3.4735068
20190313	Hubei	Wuhan	3.3584868
20190314	Hubei	Wuhan	3.3222636
20190315	Hubei	Wuhan	3.9070512
20190316	Hubei	Wuhan	5.0637312
20190317	Hubei	Wuhan	4.0038948
20190318	Hubei	Wuhan	4.2794892
20190319	Hubei	Wuhan	3.5671104
20190320	Hubei	Wuhan	3.5105076
20190321	Hubei	Wuhan	3.4320672
20190322	Hubei	Wuhan	3.8464956
20190323	Hubei	Wuhan	4.989114
20190324	Hubei	Wuhan	4.2059412
20190325	Hubei	Wuhan	4.4558424
20190326	Hubei	Wuhan	3.6572148
20190327	Hubei	Wuhan	3.4881192
20190328	Hubei	Wuhan	3.491748
20190329	Hubei	Wuhan	4.0917636
20190330	Hubei	Wuhan	5.5444824
20190331	Hubei	Wuhan	6.3512748
20190401	Hubei	Wuhan	5.0176584
20190402	Hubei	Wuhan	4.8009024
20190403	Hubei	Wuhan	5.5005156
20190404	Hubei	Wuhan	10.132452
20190405	Hubei	Wuhan	22.0794336
20190406	Hubei	Wuhan	7.4789892
20190407	Hubei	Wuhan	5.9149764
20190408	Hubei	Wuhan	5.8215348
20190409	Hubei	Wuhan	4.2856452
20190410	Hubei	Wuhan	3.9479724
20190411	Hubei	Wuhan	4.0181184
20190412	Hubei	Wuhan	4.467312
20200101	Hubei	Wuhan	3.455298
20200102	Hubei	Wuhan	3.5246016
20200103	Hubei	Wuhan	5.5244268
20200104	Hubei	Wuhan	6.0998184
20200105	Hubei	Wuhan	5.3224776
20200106	Hubei	Wuhan	5.5981368
20200107	Hubei	Wuhan	6.4050264
20200108	Hubei	Wuhan	7.3430712
20200109	Hubei	Wuhan	8.1436104
20200110	Hubei	Wuhan	6.6232404
20200111	Hubei	Wuhan	7.561188
20200112	Hubei	Wuhan	6.2165232
20200113	Hubei	Wuhan	5.7620484
20200114	Hubei	Wuhan	5.4578124
20200115	Hubei	Wuhan	5.9086584
