Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-05	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	13.84
2020-01-05	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	10.85
2020-01-05	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	7.07
2020-01-05	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	6.32
2020-01-05	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	4.88
2020-01-05	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	4.79
2020-01-05	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	3.38
2020-01-05	湖北省	荆门市	Hubei	Jingmen	Hubei	Wuhan	2.85
2020-01-05	湖北省	随州市	Hubei	Suizhou	Hubei	Wuhan	2.84
2020-01-05	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	2.77
2020-01-05	湖北省	仙桃市	Hubei	Xiantao	Hubei	Wuhan	2.43
2020-01-05	湖南省	长沙市	Hunan	Changsha	Hubei	Wuhan	1.91
2020-01-05	北京市	北京市	Beijing	Beijing	Hubei	Wuhan	1.68
2020-01-05	上海市	上海市	Shanghai	Shanghai	Hubei	Wuhan	1.52
2020-01-05	河南省	信阳市	Henan	Xinyang	Hubei	Wuhan	1.46
2020-01-05	湖北省	十堰市	Hubei	Shiyan	Hubei	Wuhan	1.36
2020-01-05	广东省	广州市	Guangdong	Guangzhou	Hubei	Wuhan	1.32
2020-01-05	湖北省	潜江市	Hubei	Qianjiang	Hubei	Wuhan	1.28
2020-01-05	湖北省	天门市	Hubei	Tianmen	Hubei	Wuhan	1.25
2020-01-05	广东省	深圳市	Guangdong	Shenzhen	Hubei	Wuhan	1.22
2020-01-05	湖北省	恩施土家族苗族自治州	Hubeisheng	Enshitujiazumiaozuzizhizhou	Hubei	Wuhan	1.11
2020-01-05	河南省	郑州市	Henan	Zhengzhou	Hubei	Wuhan	0.93
2020-01-05	重庆市	重庆市	Chongqing	Chongqing	Hubei	Wuhan	0.75
2020-01-05	安徽省	合肥市	Anhui	Hefei	Hubei	Wuhan	0.65
2020-01-05	四川省	成都市	Sichuan	Chengdu	Hubei	Wuhan	0.63
2020-01-05	浙江省	杭州市	Zhejiang	Hangzhou	Hubei	Wuhan	0.61
2020-01-05	江西省	南昌市	Jiangxi	Nanchang	Hubei	Wuhan	0.6
2020-01-05	江苏省	南京市	Jiangsu	Nanjing	Hubei	Wuhan	0.6
2020-01-05	江西省	九江市	Jiangxi	Jiujiang	Hubei	Wuhan	0.59
2020-01-05	江苏省	苏州市	Jiangsu	Suzhou	Hubei	Wuhan	0.52
2020-01-05	湖南省	岳阳市	Hunan	Yueyang	Hubei	Wuhan	0.51
2020-01-05	陕西省	西安市	Shaanxi	Xi'an	Hubei	Wuhan	0.49
2020-01-05	河南省	驻马店市	Henan	Zhumadian	Hubei	Wuhan	0.4
2020-01-05	广东省	东莞市	Guangdong	Dongguan	Hubei	Wuhan	0.39
2020-01-05	河南省	洛阳市	Henan	Luoyang	Hubei	Wuhan	0.38
2020-01-05	福建省	厦门市	Fujian	Xiamen	Hubei	Wuhan	0.36
2020-01-05	河南省	南阳市	Henan	Nanyang	Hubei	Wuhan	0.36
2020-01-05	浙江省	温州市	Zhejiang	Wenzhou	Hubei	Wuhan	0.3
2020-01-05	天津市	天津市	Tianjin	Tianjin	Hubei	Wuhan	0.3
2020-01-05	江苏省	无锡市	Jiangsu	Wuxi	Hubei	Wuhan	0.28
2020-01-05	广东省	佛山市	Guangdong	Foshan	Hubei	Wuhan	0.26
2020-01-05	浙江省	宁波市	Zhejiang	Ningbo	Hubei	Wuhan	0.25
2020-01-05	安徽省	安庆市	Anhui	Anqing	Hubei	Wuhan	0.24
2020-01-05	云南省	昆明市	Yunnan	Kunming	Hubei	Wuhan	0.23
2020-01-05	安徽省	阜阳市	Anhui	Fuyang	Hubei	Wuhan	0.22
2020-01-05	福建省	福州市	Fujian	Fuzhou	Hubei	Wuhan	0.21
2020-01-05	浙江省	金华市	Zhejiang	Jinhua	Hubei	Wuhan	0.21
2020-01-05	湖南省	株洲市	Hunan	Zhuzhou	Hubei	Wuhan	0.19
2020-01-05	浙江省	嘉兴市	Zhejiang	Jiaxing	Hubei	Wuhan	0.19
2020-01-05	河北省	石家庄市	Hebei	Shijiazhuang	Hubei	Wuhan	0.19
2020-01-05	安徽省	六安市	Anhui	Lu'an	Hubei	Wuhan	0.18
