Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-05	湖北省	孝感市	Hubei	Wuhan	Hubei	Xiaogan	12.14
2020-01-05	湖北省	黄冈市	Hubei	Wuhan	Hubei	Huanggang	10.64
2020-01-05	湖北省	鄂州市	Hubei	Wuhan	Hubei	Ezhou	5.43
2020-01-05	湖北省	荆州市	Hubei	Wuhan	Hubei	Jingzhou	5.37
2020-01-05	湖北省	咸宁市	Hubei	Wuhan	Hubei	Xianning	5.19
2020-01-05	湖北省	黄石市	Hubei	Wuhan	Hubei	Huangshi	3.95
2020-01-05	湖北省	襄阳市	Hubei	Wuhan	Hubei	Xiangyang	3.74
2020-01-05	湖北省	荆门市	Hubei	Wuhan	Hubei	Jingmen	2.78
2020-01-05	湖北省	宜昌市	Hubei	Wuhan	Hubei	Yichang	2.57
2020-01-05	湖北省	随州市	Hubei	Wuhan	Hubei	Suizhou	2.55
2020-01-05	湖北省	仙桃市	Hubei	Wuhan	Hubei	Xiantao	2.22
2020-01-05	北京市	北京市	Hubei	Wuhan	Beijing	Beijing	2.21
2020-01-05	湖北省	十堰市	Hubei	Wuhan	Hubei	Shiyan	1.96
2020-01-05	湖北省	恩施土家族苗族自治州	Hubei	Wuhan	Hubeisheng	Enshitujiazumiaozuzizhizhou	1.71
2020-01-05	上海市	上海市	Hubei	Wuhan	Shanghai	Shanghai	1.59
2020-01-05	湖南省	长沙市	Hubei	Wuhan	Hunan	Changsha	1.53
2020-01-05	湖北省	天门市	Hubei	Wuhan	Hubei	Tianmen	1.42
2020-01-05	湖北省	潜江市	Hubei	Wuhan	Hubei	Qianjiang	1.16
2020-01-05	重庆市	重庆市	Hubei	Wuhan	Chongqing	Chongqing	1.14
2020-01-05	广东省	深圳市	Hubei	Wuhan	Guangdong	Shenzhen	1.09
2020-01-05	河南省	信阳市	Hubei	Wuhan	Henan	Xinyang	1.09
2020-01-05	广东省	广州市	Hubei	Wuhan	Guangdong	Guangzhou	1.02
2020-01-05	河南省	郑州市	Hubei	Wuhan	Henan	Zhengzhou	0.94
2020-01-05	安徽省	合肥市	Hubei	Wuhan	Anhui	Hefei	0.73
2020-01-05	四川省	成都市	Hubei	Wuhan	Sichuan	Chengdu	0.69
2020-01-05	江西省	南昌市	Hubei	Wuhan	Jiangxi	Nanchang	0.68
2020-01-05	浙江省	杭州市	Hubei	Wuhan	Zhejiang	Hangzhou	0.66
2020-01-05	江苏省	南京市	Hubei	Wuhan	Jiangsu	Nanjing	0.61
2020-01-05	陕西省	西安市	Hubei	Wuhan	Shaanxi	Xi'an	0.55
2020-01-05	河南省	南阳市	Hubei	Wuhan	Henan	Nanyang	0.51
2020-01-05	河南省	驻马店市	Hubei	Wuhan	Henan	Zhumadian	0.51
2020-01-05	江西省	九江市	Hubei	Wuhan	Jiangxi	Jiujiang	0.51
2020-01-05	湖南省	岳阳市	Hubei	Wuhan	Hunan	Yueyang	0.46
2020-01-05	江苏省	苏州市	Hubei	Wuhan	Jiangsu	Suzhou	0.44
2020-01-05	云南省	昆明市	Hubei	Wuhan	Yunnan	Kunming	0.35
2020-01-05	贵州省	贵阳市	Hubei	Wuhan	Guizhou	Guiyang	0.35
2020-01-05	天津市	天津市	Hubei	Wuhan	Tianjin	Tianjin	0.32
2020-01-05	广东省	东莞市	Hubei	Wuhan	Guangdong	Dongguan	0.32
2020-01-05	河南省	周口市	Hubei	Wuhan	Henan	Zhoukou	0.29
2020-01-05	安徽省	安庆市	Hubei	Wuhan	Anhui	Anqing	0.28
2020-01-05	安徽省	阜阳市	Hubei	Wuhan	Anhui	Fuyang	0.26
2020-01-05	广东省	佛山市	Hubei	Wuhan	Guangdong	Foshan	0.25
2020-01-05	河北省	石家庄市	Hubei	Wuhan	Hebei	Shijiazhuang	0.25
2020-01-05	浙江省	宁波市	Hubei	Wuhan	Zhejiang	Ningbo	0.25
2020-01-05	广西壮族自治区	南宁市	Hubei	Wuhan	Guangxi	Nanning	0.25
2020-01-05	福建省	厦门市	Hubei	Wuhan	Fujian	Xiamen	0.22
2020-01-05	江苏省	无锡市	Hubei	Wuhan	Jiangsu	Wuxi	0.22
2020-01-05	河南省	商丘市	Hubei	Wuhan	Henan	Shangqiu	0.21
2020-01-05	山东省	济南市	Hubei	Wuhan	Shandong	Jinan	0.2
2020-01-05	安徽省	六安市	Hubei	Wuhan	Anhui	Lu'an	0.2
2020-01-05	湖南省	株洲市	Hubei	Wuhan	Hunan	Zhuzhou	0.2
2020-01-05	湖南省	常德市	Hubei	Wuhan	Hunan	Changde	0.2
2020-01-05	福建省	福州市	Hubei	Wuhan	Fujian	Fuzhou	0.2
2020-01-05	河南省	洛阳市	Hubei	Wuhan	Henan	Luoyang	0.19
2020-01-05	江西省	宜春市	Hubei	Wuhan	Jiangxi	Yichun	0.19
2020-01-05	浙江省	温州市	Hubei	Wuhan	Zhejiang	Wenzhou	0.19
2020-01-05	湖南省	衡阳市	Hubei	Wuhan	Hunan	Hengyang	0.18
2020-01-05	山东省	青岛市	Hubei	Wuhan	Shandong	Qingdao	0.18
2020-01-05	浙江省	金华市	Hubei	Wuhan	Zhejiang	Jinhua	0.18
2020-01-05	海南省	三亚市	Hubei	Wuhan	Hainan	Sanya	0.17
2020-01-05	海南省	海口市	Hubei	Wuhan	Hainan	Haikou	0.17
2020-01-05	江苏省	徐州市	Hubei	Wuhan	Jiangsu	Xuzhou	0.16
2020-01-05	甘肃省	兰州市	Hubei	Wuhan	Gansu	Lanzhou	0.16
2020-01-05	黑龙江省	哈尔滨市	Hubei	Wuhan	Heilongjiang	Harbin	0.16
2020-01-05	河北省	邯郸市	Hubei	Wuhan	Hebei	Handan	0.16
2020-01-05	江西省	赣州市	Hubei	Wuhan	Jiangxi	Ganzhou	0.16
2020-01-05	山西省	太原市	Hubei	Wuhan	Shanxi	Taiyuan	0.15
2020-01-05	河南省	漯河市	Hubei	Wuhan	Henan	Luohe	0.15
2020-01-05	广西壮族自治区	柳州市	Hubei	Wuhan	Guangxi	Liuzhou	0.15
2020-01-05	江西省	上饶市	Hubei	Wuhan	Jiangxi	Shangrao	0.15
2020-01-05	贵州省	遵义市	Hubei	Wuhan	Guizhou	Zunyi	0.15
