Date	Within_Province	Within_City	Index
20200321	Hubei	Wuhan	0.8758
20200320	Hubei	Wuhan	0.9205
20200323	Hubei	Wuhan	1.1289
20200322	Hubei	Wuhan	0.8978
20200325	Hubei	Wuhan	1.2486
20200324	Hubei	Wuhan	1.1962
20200327	Hubei	Wuhan	1.3119
20200326	Hubei	Wuhan	1.3298
20190310	Hubei	Wuhan	3.9043
20190311	Hubei	Wuhan	4.5879
20200208	Hubei	Wuhan	0.609
20200209	Hubei	Wuhan	0.616
20190314	Hubei	Wuhan	4.5595
20190315	Hubei	Wuhan	4.8362
20190316	Hubei	Wuhan	4.1974
20190317	Hubei	Wuhan	3.8384
20200202	Hubei	Wuhan	0.6617
20200203	Hubei	Wuhan	0.693
20200201	Hubei	Wuhan	0.6902
20200206	Hubei	Wuhan	0.6
20200207	Hubei	Wuhan	0.6171
20200204	Hubei	Wuhan	0.6791
20200205	Hubei	Wuhan	0.6667
20200129	Hubei	Wuhan	0.6829
20200128	Hubei	Wuhan	0.6747
20200123	Hubei	Wuhan	1.9621
20200122	Hubei	Wuhan	2.8838
20200121	Hubei	Wuhan	3.5992
20200120	Hubei	Wuhan	4.2152
20200127	Hubei	Wuhan	0.6573
20200126	Hubei	Wuhan	0.6259
20200125	Hubei	Wuhan	0.8931
20200124	Hubei	Wuhan	1.2811
20200311	Hubei	Wuhan	0.7329
20190130	Hubei	Wuhan	3.5881
20200217	Hubei	Wuhan	0.5928
20200108	Hubei	Wuhan	5.3214
20200219	Hubei	Wuhan	0.5739
20200218	Hubei	Wuhan	0.5785
20190303	Hubei	Wuhan	3.8279
20190302	Hubei	Wuhan	3.9236
20190301	Hubei	Wuhan	4.6993
20190307	Hubei	Wuhan	4.5051
20190306	Hubei	Wuhan	4.4996
20190305	Hubei	Wuhan	4.5464
20190304	Hubei	Wuhan	4.4992
20200215	Hubei	Wuhan	0.5963
20200214	Hubei	Wuhan	0.6714
20190309	Hubei	Wuhan	4.0333
20200216	Hubei	Wuhan	0.5791
20200211	Hubei	Wuhan	0.6076
20200210	Hubei	Wuhan	0.6168
20200213	Hubei	Wuhan	0.6191
20200212	Hubei	Wuhan	0.5958
20190224	Hubei	Wuhan	3.5353
20190225	Hubei	Wuhan	4.3351
20190226	Hubei	Wuhan	4.2806
20190227	Hubei	Wuhan	4.3835
20190220	Hubei	Wuhan	4.0143
20190221	Hubei	Wuhan	4.0514
20190222	Hubei	Wuhan	4.2747
20190223	Hubei	Wuhan	3.6909
20200116	Hubei	Wuhan	4.9241
20200117	Hubei	Wuhan	4.8733
20200114	Hubei	Wuhan	5.1121
20200115	Hubei	Wuhan	4.9132
20190228	Hubei	Wuhan	4.6221
20200113	Hubei	Wuhan	5.1656
20200110	Hubei	Wuhan	5.2171
20200111	Hubei	Wuhan	4.4613
20190308	Hubei	Wuhan	4.7287
